,European,American
0,4.5198255427025395e-18,0.0
1,4.685589838887711e-14,0.0
2,3.234019767877838e-11,0.0
3,4.293465672309072e-09,0.0
4,1.9132217701476524e-07,0.0
5,3.960166559276778e-06,2.842170943040401e-10
6,4.670793097710284e-05,3.979039320256561e-09
7,0.000359596155213937,3.637978807091713e-08
8,0.0019860094369011354,2.049205249932129e-07
9,0.008421160376526382,8.498091119690798e-07
10,0.02882720107817717,2.808917543006828e-06
11,0.08275674820146876,7.903935284048202e-06
12,0.20518958356407344,1.9556836150513845e-05
13,0.4496884400577733,4.267675990377029e-05
14,0.8873616304679446,8.130328410516086e-05
15,1.6003590600908781,0.0001352259459963534
16,2.6704152902731053,0.00020312242554609838
17,4.164682998005041,0.00029487566166608303
18,6.122057162398544,0.0004307470646836009
19,8.543084443999296,3.293180303671761
20,11.385556241752331,7.7146741938349805
21,14.566450259896936,12.089962207397775
22,17.96950351206147,16.3861586388947
23,21.45671903089993,20.531774319394458
24,24.88167236310283,24.433385540731933
25,28.102554185041566,27.99132733052545
26,30.993313883828698,31.112943165183538
27,33.45187299737813,33.722488608027845
28,35.4049955084663,35.767369379478
29,36.80992251817374,37.22088934246415
30,37.65324551481479,38.08203288034662
31,37.9476952808297,38.372996844735496
32,37.72758338175893,38.13523869412805
33,37.04358670093812,37.42475492650499
34,35.95745263083256,36.30718668516053
35,34.5370589392427,34.85320249508206
36,32.85211535631744,33.13445852425545
37,30.970661731414268,31.22030247020291
38,28.956410049842997,29.17527787330343
39,26.866898056560995,27.05740462721984
40,24.752369625116213,24.91715757848567
41,22.65526762584479,22.797034616566236
42,20.610213997261226,20.731593647003166
43,18.644353955728022,18.747839245931708
44,16.77795220440537,16.865850022793616
45,15.02514482409391,15.099552927373416
46,13.394768335111188,13.45756804619791
47,11.891205148922209,11.944064742390736
48,10.515200951638448,10.559585967808705
49,9.264623734464063,9.301811464598186
50,8.135145900108952,8.166242059715056
