,European,American
0,85.61064820506427,90.0
1,82.75695993156211,86.99999999999999
2,79.90327165806012,84.0
3,77.04958338458067,81.0
4,74.19589511226573,78.00000000000009
5,71.34220686704202,75.0000000000022
6,68.48851897052076,72.000000000036
7,65.63483392706864,69.0000000003611
8,62.78116525386856,66.00000000242241
9,59.9275673522605,63.00000001186456
10,57.07421271576723,60.00000004579407
11,54.22155081963208,57.00000014814068
12,51.37057628515967,54.000000418727545
13,48.5232070325213,51.00000105430941
14,45.68273240806911,48.00000237295505
15,42.85425263378345,45.00000477780849
16,40.04501125188755,42.00000870545155
17,37.264530492982566,39.00001477879329
18,34.52449321391178,36.00002400648029
19,31.8383629106105,33.03284927527676
20,29.220780973095685,30.18430921879484
21,26.686815997542823,27.463409400533614
22,24.25115738797323,24.876530201539534
23,21.9273443563363,22.430475692116843
24,19.72710577111438,20.131505715731276
25,17.659862161789995,17.98459497654129
26,15.732414632081287,15.992928621519475
27,13.948821254141002,14.157623594134224
28,12.310442669455668,12.477649113728742
29,10.81612630058089,10.949909407947256
30,9.462492596167081,9.569447346518217
31,8.244286038773723,8.329728021724478
32,7.154756795608677,7.222965273681041
33,6.186044406095121,6.240460271812007
34,5.3295414870551845,5.372928305923881
35,4.5762221051515795,4.6107969600387175
36,3.9169255464691446,3.944465197048149
37,3.342591322375771,3.364518209500541
38,2.844445235943258,2.8618970521555767
39,2.414139204480602,2.428025085470396
40,2.0438494041543436,2.0548952460910037
41,1.7263383386782625,1.7351232924061395
42,1.4549868191812507,1.4619726377538251
43,1.2238017530956462,1.2293563604617441
44,1.027405231660433,1.0318216263287896
45,0.8610098062862441,0.8645212051900775
46,0.720384152707779,0.7231761095173472
47,0.6018126109282838,0.6040327032372641
48,0.5020514077784979,0.5038169735014036
49,0.41828374815082725,0.4196880585871646
50,0.3480754169762714,0.3491925985479454
